CCSDS_OMM_VERS,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
2.0,ISS (ZARYA),1998-067A,EARTH,TEME,UTC,SGP/SGP4,2026-09-15T08:51:14.158368,15.49122235,0.00049264,51.6311,213.7631,142.7188,217.4143,0,U,25544,999,58573,0.00011249608,5.779e-05,0
2.0,SAUDISAT 1C (SO-50),2002-058C,EARTH,TEME,UTC,SGP/SGP4,2026-09-14T07:05:57.834528,14.83210726,0.00720273,64.5515,213.2481,246.1134,113.2415,0,U,27607,999,27767,0.00010940244,7.8e-06,0
2.0,RADFXSAT (FOX-1B),2017-073E,EARTH,TEME,UTC,SGP/SGP4,2026-09-15T12:46:05.931840,15.13914463,0.01478264,97.4549,123.9019,16.9755,343.6346,0,U,43017,999,47905,0.00028668168,6.746e-05,0
2.0,DIWATA-2B,2018-084H,EARTH,TEME,UTC,SGP/SGP4,2026-09-15T14:08:14.580960,15.00728369,0.00116368,98.1169,98.777,225.2157,134.812,0,U,43678,999,42977,0.00010677713,1.289e-05,0
2.0,RS-44 & BREEZE-KM R/B,2019-096E,EARTH,TEME,UTC,SGP/SGP4,2026-09-15T01:37:34.089888,12.79749354,0.02164286,82.5171,279.9824,294.3608,63.5037,0,U,44909,999,31384,-8.925577e-06,7e-08,0
2.0,OSCAR 7 (AO-7),1974-089B,EARTH,TEME,UTC,SGP/SGP4,2026-09-15T01:33:42.295968,12.53699637,0.00120383,101.9919,272.2514,321.1454,55.4981,0,U,7530,999,37178,1.581503e-06,-4.6e-07,0
2.0,LILACSAT-2,2015-049K,EARTH,TEME,UTC,SGP/SGP4,2026-09-15T13:12:24.947136,15.54297939,0.00045856,97.4557,298.9694,283.1852,76.889,0,U,40908,999,60977,0.00026915304,0.00017506,0
2.0,JAS-2 (FO-29),1996-046B,EARTH,TEME,UTC,SGP/SGP4,2026-09-15T08:40:33.407328,13.53278042,0.0349177,98.5168,94.8709,222.3008,135.0717,0,U,24278,999,48536,2.7591351e-05,-1e-07,0
2.0,TIANQIN 1 (CAS-6),2019-093A,EARTH,TEME,UTC,SGP/SGP4,2026-09-15T14:37:13.642752,14.95804803,0.00124292,97.7773,341.7976,108.4404,251.8169,0,U,44879,999,36556,0.00013885545,1.493e-05,0
2.0,CSS (TIANHE),2021-035A,EARTH,TEME,UTC,SGP/SGP4,2026-09-15T14:36:55.343232,15.59963769,0.00026342,41.4673,133.0148,281.841,78.2133,0,U,48274,999,30728,0.00021982869,0.00017965,0
2.0,JY1SAT (JO-97),2018-099AX,EARTH,TEME,UTC,SGP/SGP4,2026-09-14T09:42:34.409952,15.3628157,0.00040782,97.4033,320.6747,322.419,37.6768,0,U,43803,999,42731,0.0003744324,0.00013172,0
2.0,METEOR-M2 3,2023-091A,EARTH,TEME,UTC,SGP/SGP4,2026-09-15T14:18:20.595744,14.24052589,0.00027935,98.5994,311.6835,265.7121,94.3739,0,U,57166,999,16738,1.3056743e-05,-1.3e-07,0
2.0,METEOR-M2 4,2024-039A,EARTH,TEME,UTC,SGP/SGP4,2026-09-15T15:25:50.414304,14.22437486,0.00059162,98.7117,216.8446,269.32,90.73,0,U,59051,999,13212,2.2774215e-05,7e-08,0
2.0,XW-3 (CAS-9),2021-131B,EARTH,TEME,UTC,SGP/SGP4,2026-09-15T13:47:56.326272,14.41425629,0.00041414,98.4977,350.473,170.5927,189.534,0,U,50466,999,24813,0.0001314645,3.82e-06,0
2.0,MT-CUBE-2,2022-080B,EARTH,TEME,UTC,SGP/SGP4,2025-04-29T13:05:14.682048,6.42557753,0.000836,70.1441,82.5809,32.904,327.2139,0,U,53106,999,6559,0,-3e-08,0
2.0,ES'HAIL 2,2018-090A,EARTH,TEME,UTC,SGP/SGP4,2026-09-15T13:52:30.475200,1.00273131,0.00024461,0.0201,240.0669,323.022,25.3966,0,U,43700,999,2858,0,1.38e-06,0
2.0,GEO-KOMPSAT-2A,2018-100A,EARTH,TEME,UTC,SGP/SGP4,2026-09-15T14:21:42.674112,1.00272333,0.00018746,0.0335,38.2978,77.8264,222.141,0,U,43823,999,2853,0,-3.5e-06,0
2.0,SONATE-2,2024-043Q,EARTH,TEME,UTC,SGP/SGP4,2026-09-14T10:24:53.744832,15.65821936,0.00053598,97.5625,53.8376,227.8921,132.1883,0,U,59112,999,14182,0.00047778648,0.00048509,0
2.0,ASRTU-1 (AO-123),2024-199AY,EARTH,TEME,UTC,SGP/SGP4,2026-09-15T13:44:13.053120,15.36851358,0.00130352,97.2841,126.4338,352.0931,8.0106,0,U,61781,999,14780,0.00018785414,6.703e-05,0
2.0,MESAT1,2024-125G,EARTH,TEME,UTC,SGP/SGP4,2026-09-15T01:04:47.167968,15.75439857,0.00059218,97.2111,118.2515,220.7276,139.3547,0,U,60209,999,12365,0.00079452623,0.00121489,0
2.0,QMR-KWT-2 (RS95S),2025-313AV,EARTH,TEME,UTC,SGP/SGP4,2026-09-15T03:58:01.640064,15.28399366,0.000912,97.3854,332.539,44.3749,315.822,0,U,67291,999,3972,0.00048410201,0.00013337,0
2.0,TEVEL2-9,2025-052AD,EARTH,TEME,UTC,SGP/SGP4,2026-09-15T03:46:51.964896,15.3443823,0.0006181,97.3794,153.4084,160.568,199.5799,0,U,63237,999,8381,0.00048386287,0.00016084,0
2.0,TEVEL2-8,2025-052AF,EARTH,TEME,UTC,SGP/SGP4,2026-09-14T23:10:45.564096,15.34058901,0.00061676,97.3799,153.0649,162.0883,198.0579,0,U,63239,999,8377,0.00050295185,0.00016522,0
2.0,TEVEL2-7,2025-052AE,EARTH,TEME,UTC,SGP/SGP4,2026-09-14T05:44:33.982080,15.34047126,0.00060445,97.3798,152.3641,165.1974,194.9447,0,U,63238,999,8366,0.00041497379,0.00013608,0
2.0,TEVEL2-6,2025-052F,EARTH,TEME,UTC,SGP/SGP4,2026-09-14T16:03:19.164384,15.37274681,0.0003945,97.3762,154.2394,121.0842,239.0791,0,U,63215,999,8384,0.0004546,0.00016538,0
2.0,TEVEL2-5,2025-052E,EARTH,TEME,UTC,SGP/SGP4,2026-09-15T10:27:27.652608,15.37334259,0.00040768,97.3756,155.0244,119.7794,240.3857,0,U,63214,999,8396,0.00052603442,0.00019193,0
2.0,TEVEL2-4,2025-052D,EARTH,TEME,UTC,SGP/SGP4,2026-09-15T03:26:23.717184,15.37548367,0.00042343,97.3758,154.8114,118.1126,242.0547,0,U,63213,999,8392,0.00051816382,0.00019036,0
2.0,TEVEL2-3,2025-052J,EARTH,TEME,UTC,SGP/SGP4,2026-09-15T12:06:16.584768,15.36732939,0.00037014,97.3738,154.6228,127.938,232.2199,0,U,63218,999,8395,0.00043612221,0.00015585,0
